time,station,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015/09/25 13:00,Guanyin,29.0,0.16,2.8,11.0,14.0,47.0,16.0,13.0,0.0,63.0,5.9,50.0,46.0,3.3,3.5
2015/09/25 14:00,Guanyin,29.0,0.18,3.0,13.0,16.0,41.0,21.0,11.0,0.0,63.0,7.4,50.0,52.0,3.5,3.5
2015/09/25 15:00,Guanyin,28.0,0.17,3.0,9.3,12.0,44.0,30.0,11.0,0.0,65.0,5.7,54.0,48.0,5.8,3.9
2015/09/25 16:00,Guanyin,28.0,0.2,1.9,6.7,8.6,44.0,36.0,10.0,0.0,69.0,5.0,54.0,54.0,5.3,4.9
2015/09/25 17:00,Guanyin,27.0,0.16,1.7,10.0,12.0,43.0,35.0,9.0,0.0,73.0,6.0,55.0,67.0,5.3,5.0
2015/09/25 18:00,Guanyin,27.0,0.18,1.5,9.4,11.0,42.0,39.0,9.0,0.0,74.0,4.9,77.0,84.0,3.8,4.0
2015/09/25 19:00,Guanyin,27.0,0.16,1.5,9.7,11.0,41.0,36.0,11.0,0.0,76.0,3.9,75.0,61.0,5.3,4.7
2015/09/25 20:00,Guanyin,27.0,0.18,1.3,13.0,14.0,37.0,34.0,11.0,0.0,74.0,5.2,74.0,85.0,4.8,4.5
2015/09/25 21:00,Guanyin,27.0,0.36,2.4,29.0,32.0,17.0,33.0,10.0,0.0,74.0,9.4,82.0,66.0,2.7,2.9
2015/09/25 22:00,Guanyin,26.0,0.3,2.1,32.0,34.0,16.0,44.0,11.0,0.0,74.0,8.2,81.0,85.0,3.2,3.0
2015/09/25 23:00,Guanyin,26.0,0.29,2.2,31.0,33.0,22.0,47.0,12.0,0.0,75.0,9.5,75.0,59.0,3.0,3.3
2015/09/26 00:00,Guanyin,26.0,0.27,1.5,26.0,28.0,25.0,50.0,15.0,0.0,71.0,11.0,75.0,82.0,3.3,3.1
2015/09/26 01:00,Guanyin,26.0,0.17,1.9,24.0,26.0,27.0,47.0,17.0,0.0,77.0,5.5,78.0,79.0,4.3,3.8
2015/09/26 02:00,Guanyin,26.0,0.12,1.3,11.0,13.0,43.0,44.0,18.0,0.0,76.0,4.7,76.0,77.0,4.1,3.8
2015/09/26 03:00,Guanyin,26.0,0.12,0.7,12.0,13.0,43.0,41.0,18.0,0.0,75.0,7.6,61.0,62.0,3.6,3.7
2015/09/26 04:00,Guanyin,26.0,0.17,0.7,13.0,14.0,42.0,34.0,20.0,0.0,76.0,9.2,67.0,72.0,3.0,3.4
2015/09/26 05:00,Guanyin,26.0,0.17,0.8,13.0,14.0,43.0,39.0,20.0,0.0,78.0,5.6,69.0,81.0,3.2,3.6
2015/09/26 06:00,Guanyin,26.0,0.24,1.0,16.0,17.0,42.0,40.0,18.0,0.0,76.0,7.8,73.0,82.0,3.6,3.1
2015/09/26 07:00,Guanyin,27.0,0.21,1.3,16.0,17.0,44.0,45.0,20.0,0.0,76.0,3.8,82.0,79.0,4.1,3.8
2015/09/26 08:00,Guanyin,27.0,0.21,1.3,9.0,10.0,48.0,44.0,18.0,0.0,75.0,3.4,72.0,75.0,4.5,3.8
2015/09/26 09:00,Guanyin,27.0,0.2,1.5,11.0,12.0,44.0,44.0,17.0,0.0,77.0,4.4,66.0,54.0,4.5,4.3
