time,station,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015/01/28 12:00,Banqiao,16.0,0.48,8.1,26.0,34.0,21.0,44.0,16.0,0.0,78.0,3.4,82.0,82.0,2.9,2.6
2015/01/28 13:00,Banqiao,16.0,0.47,8.3,25.0,34.0,21.0,35.0,18.0,0.0,77.0,4.1,81.0,72.0,2.8,2.7
2015/01/28 14:00,Banqiao,16.0,0.47,8.7,26.0,35.0,19.0,33.0,18.0,0.0,77.0,4.0,81.0,80.0,2.9,2.6
2015/01/28 15:00,Banqiao,16.0,0.48,8.5,28.0,37.0,17.0,34.0,15.0,0.0,78.0,3.9,73.0,72.0,2.9,2.4
2015/01/28 16:00,Banqiao,15.0,0.54,9.9,30.0,40.0,15.0,33.0,16.0,0.0,79.0,2.9,75.0,67.0,3.3,2.4
2015/01/28 17:00,Banqiao,15.0,0.62,7.9,30.0,38.0,16.0,33.0,16.0,0.0,80.0,1.9,81.0,88.0,2.5,2.3
2015/01/28 18:00,Banqiao,15.0,0.65,6.6,27.0,34.0,17.0,33.0,14.0,0.0,80.0,1.7,86.0,84.0,2.7,2.5
2015/01/28 19:00,Banqiao,15.0,0.58,5.0,25.0,30.0,20.0,28.0,12.0,0.0,80.0,1.4,80.0,70.0,2.2,2.0
2015/01/28 20:00,Banqiao,15.0,0.47,4.2,20.0,24.0,24.0,22.0,9.0,0.0,79.0,1.5,81.0,82.0,2.9,2.4
2015/01/28 21:00,Banqiao,15.0,0.48,3.9,19.0,23.0,24.0,20.0,7.0,0.0,78.0,1.4,83.0,72.0,2.0,2.1
2015/01/28 22:00,Banqiao,15.0,0.5,3.7,20.0,23.0,23.0,17.0,6.0,0.0,77.0,1.4,77.0,85.0,2.6,2.0
2015/01/28 23:00,Banqiao,15.0,0.36,2.0,14.0,16.0,30.0,17.0,8.0,0.0,79.0,1.5,82.0,79.0,2.1,2.2
2015/01/29 00:00,Banqiao,15.0,0.28,1.3,8.6,9.9,35.0,18.0,9.0,0.0,80.0,1.4,76.0,76.0,2.6,2.2
2015/01/29 01:00,Banqiao,15.0,0.25,1.3,8.2,9.5,35.0,16.0,5.0,0.0,82.0,2.8,82.0,71.0,1.8,2.0
2015/01/29 02:00,Banqiao,15.0,0.23,1.2,8.3,9.5,34.0,16.0,3.0,0.0,83.0,3.6,85.0,88.0,2.0,2.2
2015/01/29 03:00,Banqiao,15.0,0.21,0.0,7.2,7.3,35.0,16.0,7.0,0.0,83.0,4.0,83.0,85.0,2.0,2.0
2015/01/29 04:00,Banqiao,15.0,0.22,0.2,7.6,7.8,35.0,16.0,7.0,0.0,82.0,3.6,85.0,78.0,1.7,1.4
2015/01/29 05:00,Banqiao,16.0,0.29,0.6,12.0,12.0,29.0,15.0,4.0,0.0,81.0,1.8,63.0,60.0,1.5,1.2
2015/01/29 06:00,Banqiao,16.0,0.42,1.6,19.0,20.0,22.0,16.0,10.0,0.0,79.0,1.6,49.0,52.0,2.0,1.8
2015/01/29 07:00,Banqiao,16.0,0.64,4.1,27.0,31.0,17.0,24.0,11.0,0.0,80.0,2.6,61.0,63.0,2.7,2.5
2015/01/29 08:00,Banqiao,17.0,0.89,13.0,32.0,45.0,15.0,32.0,9.0,0.0,79.0,6.7,64.0,65.0,2.7,2.2
2015/01/29 09:00,Banqiao,18.0,0.7,13.0,29.0,43.0,19.0,35.0,10.0,0.0,75.0,5.7,71.0,82.0,2.4,2.4
2015/01/29 10:00,Banqiao,19.0,0.55,12.0,25.0,37.0,22.0,33.0,13.0,0.0,72.0,2.7,73.0,60.0,3.1,2.2
2015/01/29 11:00,Banqiao,20.0,0.46,7.0,21.0,28.0,26.0,28.0,13.0,0.0,70.0,2.2,66.0,64.0,2.7,2.8
2015/01/29 12:00,Banqiao,21.0,0.42,7.6,17.0,25.0,29.0,24.0,10.0,0.0,69.0,2.6,70.0,78.0,3.5,3.1
2015/01/29 13:00,Banqiao,22.0,0.39,5.9,14.0,20.0,32.0,21.0,10.0,0.0,66.0,3.3,69.0,75.0,3.0,2.5
2015/01/29 14:00,Banqiao,22.0,0.45,5.6,19.0,25.0,28.0,24.0,10.0,0.0,65.0,5.1,66.0,81.0,2.9,2.0
2015/01/29 15:00,Banqiao,21.0,0.44,5.4,20.0,26.0,26.0,31.0,12.0,0.0,69.0,4.5,73.0,63.0,1.9,2.0
2015/01/29 16:00,Banqiao,21.0,0.59,4.6,27.0,32.0,19.0,32.0,15.0,0.0,72.0,5.0,60.0,58.0,2.2,1.7
2015/01/29 17:00,Banqiao,20.0,0.61,2.5,27.0,30.0,19.0,31.0,15.0,0.0,74.0,4.5,64.0,58.0,2.8,2.3
2015/01/29 18:00,Banqiao,20.0,0.82,5.4,33.0,38.0,13.0,33.0,15.0,0.0,77.0,4.5,65.0,57.0,1.1,1.9
2015/01/29 19:00,Banqiao,19.0,0.93,11.0,37.0,48.0,6.8,35.0,13.0,0.0,78.0,5.2,80.0,58.0,1.4,1.4
2015/01/29 20:00,Banqiao,19.0,0.75,8.3,34.0,43.0,8.8,33.0,10.0,0.0,79.0,5.7,84.0,79.0,1.1,1.7
2015/01/29 21:00,Banqiao,19.0,0.99,11.0,39.0,50.0,4.0,37.0,14.0,0.0,79.0,7.1,60.0,50.0,1.1,1.0
2015/01/29 22:00,Banqiao,19.0,0.88,5.7,34.0,40.0,6.1,44.0,17.0,0.0,78.0,3.8,328.0,326.0,2.2,1.5
2015/01/29 23:00,Banqiao,19.0,0.47,0.9,23.0,23.0,16.0,48.0,17.0,0.0,81.0,3.2,300.0,295.0,1.6,1.5
2015/01/30 00:00,Banqiao,18.0,0.35,0.4,15.0,16.0,23.0,44.0,13.0,0.0,82.0,2.0,298.0,308.0,1.6,1.6
2015/01/30 01:00,Banqiao,18.0,0.27,0.1,9.5,9.6,30.0,37.0,10.0,0.0,82.0,1.4,329.0,325.0,3.3,1.5
2015/01/30 02:00,Banqiao,18.0,0.22,0.4,7.0,7.4,33.0,33.0,11.0,0.0,81.0,1.4,326.0,353.0,2.2,1.5
2015/01/30 03:00,Banqiao,18.0,0.22,0.9,5.9,6.8,33.0,39.0,10.0,0.0,80.0,1.5,327.0,326.0,2.5,1.9
2015/01/30 04:00,Banqiao,17.0,0.23,0.9,5.7,6.6,33.0,42.0,10.0,0.0,80.0,1.5,333.0,20.0,1.4,1.5
2015/01/30 05:00,Banqiao,17.0,0.25,1.2,8.0,9.2,30.0,34.0,12.0,0.0,78.0,1.5,341.0,346.0,2.0,1.1
2015/01/30 06:00,Banqiao,17.0,0.33,1.1,13.0,14.0,24.0,28.0,10.0,0.0,77.0,1.6,329.0,315.0,1.6,1.2
2015/01/30 07:00,Banqiao,17.0,0.65,3.2,23.0,27.0,15.0,29.0,8.0,0.0,75.0,1.5,328.0,318.0,1.5,1.0
2015/01/30 08:00,Banqiao,17.0,0.77,5.2,28.0,33.0,13.0,37.0,9.0,0.0,73.0,1.6,319.0,322.0,2.3,1.6
2015/01/30 09:00,Banqiao,17.0,0.49,3.7,22.0,26.0,18.0,37.0,10.0,0.0,73.0,1.8,326.0,324.0,3.3,2.3
2015/01/30 10:00,Banqiao,17.0,0.41,3.9,20.0,24.0,20.0,32.0,9.0,0.0,74.0,1.7,323.0,316.0,2.7,2.2
2015/01/30 11:00,Banqiao,17.0,0.47,3.5,22.0,25.0,19.0,32.0,10.0,0.0,73.0,1.6,325.0,323.0,1.6,1.5
2015/01/30 12:00,Banqiao,16.0,0.47,3.9,19.0,23.0,21.0,31.0,11.0,0.0,74.0,1.5,324.0,341.0,2.3,1.5
2015/01/30 13:00,Banqiao,16.0,0.47,5.3,19.0,24.0,21.0,26.0,10.0,0.0,73.0,1.5,46.0,102.0,2.6,0.8
2015/01/30 14:00,Banqiao,18.0,0.42,8.2,16.0,24.0,26.0,22.0,7.0,0.0,66.0,1.3,88.0,86.0,2.5,1.9
2015/01/30 15:00,Banqiao,17.0,0.46,6.2,21.0,28.0,20.0,18.0,8.0,0.0,69.0,1.1,79.0,83.0,2.2,2.3
2015/01/30 16:00,Banqiao,17.0,0.53,5.4,25.0,30.0,16.0,18.0,10.0,0.0,69.0,1.4,62.0,33.0,2.6,1.9
