time,station,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015/01/16 12:00,Banqiao,20.0,0.38,3.7,11.0,14.0,40.0,40.0,18.0,0.0,56.0,3.3,59.0,59.0,3.5,3.0
2015/01/16 13:00,Banqiao,20.0,0.34,3.9,12.0,16.0,39.0,42.0,20.0,0.0,56.0,2.8,70.0,74.0,3.5,3.2
2015/01/16 14:00,Banqiao,20.0,0.38,4.9,14.0,19.0,37.0,43.0,17.0,0.0,58.0,2.8,68.0,69.0,3.8,2.8
2015/01/16 15:00,Banqiao,19.0,0.35,3.7,14.0,18.0,36.0,44.0,10.0,0.0,59.0,3.4,71.0,64.0,4.3,3.4
2015/01/16 16:00,Banqiao,19.0,0.43,2.6,19.0,21.0,31.0,44.0,15.0,0.0,61.0,3.2,67.0,72.0,3.5,2.8
2015/01/16 17:00,Banqiao,18.0,0.56,3.0,21.0,24.0,30.0,45.0,24.0,0.0,65.0,2.7,71.0,67.0,3.4,3.0
2015/01/16 18:00,Banqiao,18.0,0.67,2.4,23.0,26.0,29.0,54.0,24.0,0.0,68.0,2.7,67.0,67.0,2.2,2.7
2015/01/16 19:00,Banqiao,18.0,0.81,4.5,31.0,36.0,21.0,57.0,29.0,0.0,69.0,2.4,74.0,65.0,2.0,2.0
2015/01/16 20:00,Banqiao,17.0,0.68,3.5,27.0,31.0,24.0,54.0,31.0,0.0,69.0,2.1,85.0,85.0,2.1,2.2
2015/01/16 21:00,Banqiao,17.0,0.68,4.3,28.0,33.0,22.0,48.0,26.0,0.0,68.0,2.1,79.0,72.0,2.2,2.0
2015/01/16 22:00,Banqiao,17.0,0.68,3.1,27.0,30.0,23.0,43.0,24.0,0.0,67.0,2.4,82.0,79.0,2.8,2.2
2015/01/16 23:00,Banqiao,16.0,0.53,1.3,18.0,20.0,35.0,43.0,25.0,0.0,64.0,2.5,69.0,65.0,2.5,2.2
2015/01/17 00:00,Banqiao,16.0,0.44,0.7,12.0,13.0,44.0,43.0,27.0,0.0,60.0,3.3,68.0,65.0,3.1,2.4
2015/01/17 01:00,Banqiao,16.0,0.38,0.4,11.0,11.0,44.0,49.0,28.0,0.0,59.0,4.5,64.0,71.0,2.7,2.6
2015/01/17 02:00,Banqiao,16.0,0.4,0.5,10.0,11.0,43.0,56.0,32.0,0.0,59.0,4.2,69.0,94.0,1.3,1.9
2015/01/17 03:00,Banqiao,16.0,0.42,1.7,9.4,11.0,42.0,62.0,37.0,0.0,59.0,3.7,83.0,73.0,2.3,1.5
2015/01/17 04:00,Banqiao,16.0,0.45,1.7,8.0,9.6,43.0,67.0,40.0,0.0,58.0,3.1,77.0,63.0,2.4,1.8
2015/01/17 05:00,Banqiao,16.0,0.45,1.8,6.4,8.2,44.0,75.0,46.0,0.0,57.0,4.2,68.0,70.0,4.3,3.7
2015/01/17 06:00,Banqiao,15.0,0.57,2.1,12.0,14.0,39.0,95.0,56.0,0.0,57.0,6.1,66.0,73.0,4.0,3.1
2015/01/17 07:00,Banqiao,15.0,0.72,2.4,15.0,18.0,39.0,115.0,66.0,0.0,54.0,8.1,67.0,62.0,3.7,3.1
2015/01/17 08:00,Banqiao,15.0,0.72,2.7,17.0,20.0,42.0,121.0,68.0,0.0,49.0,9.0,57.0,75.0,3.1,3.3
2015/01/17 09:00,Banqiao,15.0,0.66,4.9,18.0,23.0,36.0,112.0,62.0,0.0,48.0,6.8,70.0,70.0,3.6,3.7
2015/01/17 10:00,Banqiao,15.0,0.65,6.6,20.0,27.0,29.0,106.0,57.0,0.0,49.0,6.2,68.0,61.0,4.1,3.3
2015/01/17 11:00,Banqiao,16.0,0.65,7.6,20.0,27.0,30.0,106.0,56.0,0.0,49.0,5.6,68.0,81.0,3.1,3.7
2015/01/17 12:00,Banqiao,16.0,0.65,6.5,20.0,27.0,32.0,109.0,54.0,0.0,48.0,4.4,69.0,77.0,3.9,3.2
2015/01/17 13:00,Banqiao,16.0,0.58,4.9,16.0,20.0,36.0,116.0,59.0,0.0,53.0,5.5,67.0,65.0,4.7,4.2
2015/01/17 14:00,Banqiao,15.0,0.57,4.3,18.0,22.0,35.0,117.0,62.0,0.0,53.0,4.7,68.0,64.0,3.1,4.5
2015/01/17 15:00,Banqiao,16.0,0.67,5.2,23.0,29.0,29.0,117.0,62.0,0.0,53.0,4.8,72.0,89.0,3.3,2.9
2015/01/17 16:00,Banqiao,16.0,0.77,5.4,27.0,33.0,23.0,128.0,67.0,0.0,53.0,4.8,74.0,65.0,2.9,2.1
2015/01/17 17:00,Banqiao,16.0,0.84,4.6,25.0,29.0,24.0,130.0,74.0,0.0,54.0,4.3,76.0,69.0,4.3,3.0
2015/01/17 18:00,Banqiao,16.0,0.98,4.9,28.0,33.0,20.0,125.0,77.0,0.0,55.0,4.3,80.0,83.0,1.9,1.6
2015/01/17 19:00,Banqiao,16.0,0.9,4.5,23.0,27.0,24.0,120.0,77.0,0.0,58.0,4.1,72.0,64.0,5.1,3.0
2015/01/17 20:00,Banqiao,15.0,0.82,3.7,20.0,23.0,27.0,110.0,71.0,0.0,63.0,3.5,76.0,87.0,2.5,2.7
2015/01/17 21:00,Banqiao,15.0,0.79,3.9,19.0,23.0,25.0,101.0,67.0,0.0,61.0,3.2,78.0,83.0,2.4,2.3
2015/01/17 22:00,Banqiao,15.0,0.77,4.0,22.0,26.0,21.0,97.0,62.0,0.0,60.0,2.8,82.0,61.0,1.2,1.7
2015/01/17 23:00,Banqiao,15.0,0.61,2.8,16.0,19.0,27.0,88.0,50.0,0.0,59.0,2.7,84.0,84.0,2.2,2.0
2015/01/18 00:00,Banqiao,15.0,0.51,2.2,11.0,13.0,32.0,77.0,42.0,0.0,59.0,1.9,84.0,81.0,1.9,1.9
2015/01/18 01:00,Banqiao,15.0,0.42,1.8,8.1,10.0,34.0,67.0,37.0,0.0,59.0,1.6,80.0,77.0,2.3,1.8
2015/01/18 02:00,Banqiao,15.0,0.4,1.6,6.7,8.3,36.0,57.0,31.0,0.0,58.0,1.4,79.0,77.0,2.2,1.8
2015/01/18 03:00,Banqiao,15.0,0.4,1.0,6.2,7.2,36.0,50.0,28.0,0.0,59.0,1.3,79.0,90.0,1.1,1.8
2015/01/18 04:00,Banqiao,15.0,0.43,1.0,7.7,8.7,33.0,49.0,29.0,0.0,61.0,1.5,72.0,85.0,1.6,1.0
2015/01/18 05:00,Banqiao,15.0,0.45,1.1,8.6,9.7,32.0,49.0,28.0,0.0,63.0,1.5,79.0,75.0,1.9,1.4
2015/01/18 06:00,Banqiao,15.0,0.49,1.6,12.0,14.0,28.0,48.0,25.0,0.0,67.0,1.4,82.0,84.0,2.4,1.6
2015/01/18 07:00,Banqiao,15.0,0.59,3.4,16.0,20.0,23.0,39.0,22.0,0.0,68.0,1.6,75.0,81.0,2.0,1.6
2015/01/18 08:00,Banqiao,16.0,0.58,6.5,17.0,24.0,24.0,40.0,22.0,0.0,65.0,1.8,76.0,77.0,2.0,1.7
2015/01/18 09:00,Banqiao,18.0,0.58,7.4,16.0,24.0,27.0,51.0,23.0,0.0,59.0,1.6,73.0,68.0,3.1,1.6
2015/01/18 10:00,Banqiao,18.0,0.49,5.7,13.0,19.0,32.0,46.0,25.0,0.0,57.0,1.8,63.0,67.0,4.0,2.9
2015/01/18 11:00,Banqiao,19.0,0.43,5.8,12.0,18.0,35.0,37.0,20.0,0.0,56.0,1.8,65.0,69.0,3.5,2.9
2015/01/18 12:00,Banqiao,20.0,0.4,4.8,11.0,15.0,37.0,34.0,15.0,0.0,54.0,3.7,60.0,63.0,3.5,3.2
2015/01/18 13:00,Banqiao,20.0,0.38,5.0,10.0,15.0,37.0,35.0,13.0,0.0,54.0,4.1,63.0,73.0,4.1,3.3
2015/01/18 14:00,Banqiao,19.0,0.33,4.1,9.4,14.0,37.0,33.0,13.0,0.0,56.0,1.8,70.0,59.0,3.0,3.3
2015/01/18 15:00,Banqiao,19.0,0.37,4.1,12.0,16.0,33.0,33.0,10.0,0.0,58.0,1.6,72.0,69.0,3.9,3.0
2015/01/18 16:00,Banqiao,18.0,0.35,2.9,12.0,15.0,33.0,34.0,11.0,0.0,61.0,1.6,72.0,73.0,3.7,3.2
2015/01/18 17:00,Banqiao,17.0,0.43,2.7,15.0,18.0,30.0,33.0,13.0,0.0,64.0,1.3,68.0,66.0,3.2,2.7
2015/01/18 18:00,Banqiao,17.0,0.48,3.1,19.0,22.0,28.0,33.0,13.0,0.0,65.0,1.6,74.0,70.0,2.5,2.4
2015/01/18 19:00,Banqiao,17.0,0.45,3.1,18.0,21.0,28.0,28.0,15.0,0.0,65.0,1.6,72.0,67.0,2.9,2.3
2015/01/18 20:00,Banqiao,17.0,0.45,2.0,17.0,19.0,29.0,24.0,14.0,0.0,62.0,1.7,71.0,85.0,2.2,2.1
2015/01/18 21:00,Banqiao,17.0,0.43,2.3,16.0,19.0,32.0,27.0,16.0,0.0,59.0,1.8,69.0,83.0,1.9,2.5
2015/01/18 22:00,Banqiao,17.0,0.54,3.1,22.0,25.0,25.0,32.0,20.0,0.0,59.0,2.3,83.0,84.0,1.3,1.6
