time,station,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015/07/30 11:00,Wanli,30.0,0.28,1.6,8.1,9.6,82.0,40.0,21.0,0.0,68.0,5.4,50.0,60.0,2.5,3.5
2015/07/30 12:00,Wanli,30.0,0.28,1.4,7.5,8.9,97.0,43.0,26.0,0.0,71.0,5.8,47.0,45.0,4.7,3.9
2015/07/30 13:00,Wanli,30.0,0.18,1.3,5.3,6.6,71.0,44.0,30.0,0.0,72.0,3.4,52.0,67.0,3.6,3.9
2015/07/30 14:00,Wanli,29.0,0.15,1.2,4.5,5.7,54.0,39.0,21.0,0.0,78.0,2.5,69.0,64.0,3.4,3.4
2015/07/30 15:00,Wanli,29.0,0.14,1.2,5.0,6.2,54.0,39.0,16.0,0.0,75.0,3.0,58.0,46.0,2.2,2.7
2015/07/30 16:00,Wanli,29.0,0.19,1.3,9.3,11.0,46.0,33.0,16.0,0.0,74.0,3.2,132.0,197.0,1.9,0.7
2015/07/30 17:00,Wanli,29.0,0.26,1.2,8.3,9.6,44.0,35.0,18.0,0.0,77.0,2.3,217.0,221.0,1.2,1.7
2015/07/30 18:00,Wanli,29.0,0.17,1.1,8.6,9.7,34.0,38.0,20.0,0.0,72.0,2.7,78.0,107.0,1.3,1.1
2015/07/30 19:00,Wanli,28.0,0.23,1.6,13.0,14.0,21.0,33.0,15.0,0.0,79.0,2.5,202.0,209.0,2.9,1.5
2015/07/30 20:00,Wanli,27.0,0.21,1.5,11.0,12.0,20.0,31.0,16.0,0.0,83.0,2.3,210.0,210.0,3.1,3.0
2015/07/30 21:00,Wanli,26.0,0.19,1.5,7.7,9.1,24.0,32.0,19.0,0.0,84.0,1.5,211.0,212.0,4.3,3.8
2015/07/30 22:00,Wanli,26.0,0.19,1.1,6.3,7.4,30.0,34.0,23.0,0.0,83.0,1.4,213.0,219.0,3.3,4.1
