time,station,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015/11/06 13:00,Taoyuan,31.0,0.51,2.8,22.0,24.0,83.0,22.0,12.0,0.0,64.0,5.6,287.0,263.0,1.8,0.9
2015/11/06 14:00,Taoyuan,30.0,0.5,2.6,23.0,26.0,78.0,42.0,25.0,0.0,67.0,5.3,292.0,295.0,2.1,0.9
2015/11/06 15:00,Taoyuan,29.0,0.5,2.3,24.0,26.0,72.0,60.0,31.0,0.0,70.0,4.3,284.0,288.0,2.0,1.2
2015/11/06 16:00,Taoyuan,28.0,0.53,1.6,25.0,27.0,62.0,70.0,36.0,0.0,73.0,3.4,292.0,333.0,1.1,0.9
2015/11/06 17:00,Taoyuan,27.0,0.8,1.8,30.0,32.0,49.0,69.0,39.0,0.0,75.0,3.5,298.0,268.0,0.7,0.3
2015/11/06 18:00,Taoyuan,27.0,0.94,2.2,38.0,40.0,34.0,64.0,46.0,0.0,78.0,4.8,39.0,304.0,0.7,0.3
2015/11/06 19:00,Taoyuan,26.0,1.24,3.3,47.0,50.0,12.0,64.0,50.0,0.0,79.0,5.9,33.0,82.0,0.7,0.3
2015/11/06 20:00,Taoyuan,26.0,0.78,4.3,25.0,30.0,4.7,52.0,39.0,0.0,78.0,4.6,127.0,119.0,1.3,0.8
2015/11/06 21:00,Taoyuan,26.0,0.77,6.8,25.0,32.0,1.7,44.0,22.0,0.0,77.0,10.0,123.0,140.0,0.7,0.6
2015/11/06 22:00,Taoyuan,26.0,0.8,4.1,29.0,33.0,7.3,42.0,18.0,0.0,78.0,6.6,262.0,232.0,0.7,0.4
2015/11/06 23:00,Taoyuan,25.0,0.93,1.6,39.0,41.0,17.0,70.0,44.0,0.0,84.0,7.5,171.0,102.0,0.5,0.2
2015/11/07 00:00,Taoyuan,25.0,1.02,1.7,37.0,39.0,19.0,93.0,69.0,0.0,85.0,7.3,102.0,74.0,0.6,0.5
