time,station,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015/01/08 15:00,Guting,14.0,0.53,6.5,22.0,28.0,23.0,92.0,48.0,0.0,59.0,3.8,91.0,88.0,3.1,2.8
2015/01/08 16:00,Guting,14.0,0.52,5.6,20.0,26.0,23.0,84.0,43.0,0.0,61.0,4.3,101.0,110.0,3.2,3.0
2015/01/08 17:00,Guting,14.0,0.64,7.7,22.0,30.0,19.0,87.0,44.0,0.0,64.0,2.6,103.0,100.0,2.9,3.2
2015/01/08 18:00,Guting,14.0,0.72,8.8,26.0,35.0,15.0,77.0,39.0,0.0,66.0,2.5,103.0,100.0,2.9,2.9
2015/01/08 19:00,Guting,14.0,0.63,6.6,23.0,29.0,16.0,68.0,41.0,0.0,66.0,2.3,102.0,103.0,3.2,2.9
2015/01/08 20:00,Guting,14.0,0.51,4.3,18.0,22.0,21.0,60.0,36.0,0.0,64.0,2.0,102.0,92.0,3.0,3.0
2015/01/08 21:00,Guting,14.0,0.49,3.7,17.0,21.0,22.0,60.0,35.0,0.0,63.0,2.0,97.0,94.0,2.4,2.5
2015/01/08 22:00,Guting,14.0,0.45,3.7,15.0,19.0,25.0,60.0,34.0,0.0,61.0,1.8,98.0,97.0,2.3,2.3
2015/01/08 23:00,Guting,14.0,0.36,2.6,12.0,15.0,27.0,55.0,31.0,0.0,63.0,1.5,101.0,104.0,2.8,2.4
2015/01/09 00:00,Guting,14.0,0.27,1.8,7.4,9.2,31.0,52.0,18.0,0.0,65.0,1.3,105.0,109.0,3.1,2.8
2015/01/09 01:00,Guting,14.0,0.22,1.5,5.7,7.2,33.0,45.0,17.0,0.0,67.0,1.6,105.0,102.0,2.2,2.4
2015/01/09 02:00,Guting,14.0,0.19,1.4,4.6,6.0,35.0,44.0,11.0,0.0,65.0,1.5,90.0,81.0,2.2,2.0
2015/01/09 03:00,Guting,15.0,0.22,0.6,5.0,5.6,37.0,42.0,19.0,0.0,59.0,1.9,74.0,71.0,2.2,2.2
2015/01/09 04:00,Guting,15.0,0.23,0.7,5.9,6.6,36.0,41.0,11.0,0.0,61.0,2.1,80.0,84.0,2.0,1.7
2015/01/09 05:00,Guting,15.0,0.25,0.6,6.0,6.6,36.0,38.0,17.0,0.0,61.0,2.0,89.0,98.0,2.6,1.8
2015/01/09 06:00,Guting,15.0,0.34,2.0,14.0,16.0,28.0,41.0,16.0,0.0,62.0,2.1,87.0,68.0,2.3,2.0
2015/01/09 07:00,Guting,15.0,0.64,11.0,29.0,40.0,17.0,44.0,22.0,0.0,62.0,2.3,84.0,86.0,2.4,2.2
2015/01/09 08:00,Guting,16.0,0.58,7.4,23.0,30.0,23.0,46.0,21.0,0.0,59.0,2.2,93.0,97.0,3.0,2.8
2015/01/09 09:00,Guting,16.0,0.49,7.5,22.0,29.0,25.0,45.0,23.0,0.0,59.0,2.3,81.0,78.0,3.4,3.1
2015/01/09 10:00,Guting,17.0,0.39,5.8,15.0,21.0,32.0,48.0,28.0,0.0,55.0,2.3,83.0,75.0,4.5,3.8
2015/01/09 11:00,Guting,17.0,0.38,5.4,14.0,19.0,34.0,51.0,28.0,0.0,55.0,2.2,86.0,93.0,4.5,3.8
2015/01/09 12:00,Guting,18.0,0.37,4.7,12.0,17.0,35.0,53.0,26.0,0.0,54.0,2.2,81.0,79.0,3.9,3.5
2015/01/09 13:00,Guting,18.0,0.43,4.9,15.0,20.0,35.0,53.0,25.0,0.0,56.0,2.6,74.0,79.0,3.2,3.3
2015/01/09 14:00,Guting,18.0,0.42,4.2,16.0,20.0,35.0,61.0,29.0,0.0,55.0,2.6,66.0,70.0,3.3,3.4
2015/01/09 15:00,Guting,18.0,0.47,5.7,21.0,26.0,31.0,62.0,28.0,0.0,59.0,2.6,84.0,82.0,3.9,3.4
2015/01/09 16:00,Guting,17.0,0.49,5.5,21.0,27.0,29.0,66.0,35.0,0.0,59.0,2.3,79.0,91.0,3.2,3.5
2015/01/09 17:00,Guting,17.0,0.62,6.0,27.0,33.0,23.0,60.0,34.0,0.0,59.0,2.2,86.0,86.0,3.1,3.1
2015/01/09 18:00,Guting,17.0,0.71,7.0,28.0,35.0,22.0,60.0,40.0,0.0,60.0,2.0,77.0,74.0,3.0,2.8
2015/01/09 19:00,Guting,17.0,0.6,4.0,23.0,27.0,25.0,56.0,27.0,0.0,61.0,1.9,85.0,95.0,3.6,2.7
2015/01/09 20:00,Guting,17.0,0.51,3.7,23.0,27.0,24.0,53.0,23.0,0.0,59.0,1.8,80.0,81.0,2.2,2.3
2015/01/09 21:00,Guting,17.0,0.52,4.3,25.0,29.0,21.0,51.0,10.0,0.0,60.0,2.2,81.0,75.0,2.8,2.5
2015/01/09 22:00,Guting,16.0,0.49,4.3,25.0,29.0,21.0,48.0,12.0,0.0,66.0,3.7,82.0,93.0,2.3,2.5
2015/01/09 23:00,Guting,16.0,0.37,2.0,16.0,18.0,28.0,48.0,18.0,0.0,64.0,2.4,97.0,98.0,2.2,2.3
2015/01/10 00:00,Guting,16.0,0.26,1.1,9.3,10.0,34.0,40.0,23.0,0.0,59.0,1.2,97.0,106.0,2.5,2.2
2015/01/10 01:00,Guting,16.0,0.22,1.0,6.9,7.9,36.0,37.0,26.0,0.0,61.0,1.3,95.0,93.0,1.9,2.1
2015/01/10 02:00,Guting,16.0,0.19,1.2,6.9,8.1,36.0,34.0,12.0,0.0,63.0,1.2,89.0,80.0,2.7,2.0
2015/01/10 03:00,Guting,16.0,0.16,1.4,4.5,5.9,37.0,35.0,11.0,0.0,63.0,1.3,77.0,81.0,2.6,2.5
2015/01/10 04:00,Guting,16.0,0.18,1.3,6.1,7.3,35.0,31.0,7.0,0.0,64.0,1.5,92.0,98.0,2.5,2.0
2015/01/10 05:00,Guting,16.0,0.18,1.5,6.5,7.9,36.0,28.0,9.0,0.0,61.0,1.3,90.0,95.0,2.2,2.2
2015/01/10 06:00,Guting,16.0,0.24,2.6,12.0,15.0,30.0,28.0,9.0,0.0,60.0,1.3,97.0,94.0,1.4,1.9
2015/01/10 07:00,Guting,16.0,0.33,5.2,19.0,24.0,25.0,34.0,13.0,0.0,61.0,1.3,95.0,107.0,3.0,2.2
2015/01/10 08:00,Guting,17.0,0.38,7.1,18.0,25.0,25.0,36.0,11.0,0.0,61.0,1.6,100.0,74.0,1.7,2.4
2015/01/10 09:00,Guting,17.0,0.45,9.0,22.0,31.0,23.0,40.0,13.0,0.0,60.0,1.9,93.0,99.0,3.4,2.6
2015/01/10 10:00,Guting,18.0,0.29,5.0,12.0,17.0,34.0,40.0,8.0,0.0,53.0,1.9,87.0,95.0,4.6,3.7
2015/01/10 11:00,Guting,18.0,0.34,4.6,15.0,19.0,32.0,46.0,14.0,0.0,55.0,2.6,90.0,91.0,3.6,3.1
2015/01/10 12:00,Guting,18.0,0.36,4.9,15.0,20.0,34.0,48.0,18.0,0.0,57.0,3.1,80.0,81.0,3.4,3.3
2015/01/10 13:00,Guting,18.0,0.37,4.8,16.0,21.0,34.0,46.0,20.0,0.0,54.0,2.8,85.0,99.0,3.1,2.8
2015/01/10 14:00,Guting,19.0,0.36,5.2,14.0,19.0,36.0,47.0,20.0,0.0,51.0,3.0,81.0,95.0,3.1,3.3
2015/01/10 15:00,Guting,18.0,0.36,4.5,14.0,18.0,37.0,38.0,22.0,0.0,54.0,3.4,82.0,84.0,4.0,3.5
2015/01/10 16:00,Guting,18.0,0.36,3.1,14.0,17.0,38.0,44.0,23.0,0.0,57.0,3.7,96.0,96.0,3.4,3.5
2015/01/10 17:00,Guting,17.0,0.44,3.7,20.0,23.0,33.0,44.0,28.0,0.0,59.0,3.8,90.0,92.0,2.6,2.7
2015/01/10 18:00,Guting,17.0,0.46,3.4,21.0,24.0,31.0,59.0,20.0,0.0,60.0,3.5,96.0,95.0,2.1,2.4
2015/01/10 19:00,Guting,17.0,0.45,3.3,20.0,23.0,31.0,61.0,23.0,0.0,61.0,3.3,107.0,115.0,2.0,2.2
2015/01/10 20:00,Guting,17.0,0.43,3.4,19.0,22.0,31.0,57.0,27.0,0.0,62.0,3.1,112.0,107.0,2.9,2.5
2015/01/10 21:00,Guting,17.0,0.43,3.1,16.0,19.0,37.0,50.0,34.0,0.0,61.0,3.4,107.0,109.0,3.0,2.9
2015/01/10 22:00,Guting,17.0,0.44,2.6,13.0,16.0,39.0,51.0,37.0,0.0,63.0,3.5,110.0,111.0,3.1,3.1
2015/01/10 23:00,Guting,17.0,0.4,2.0,10.0,12.0,44.0,59.0,33.0,0.0,64.0,3.2,107.0,98.0,3.3,3.3
2015/01/11 00:00,Guting,17.0,0.37,1.5,6.7,8.2,49.0,70.0,34.0,0.0,64.0,3.5,98.0,91.0,3.1,3.0
2015/01/11 01:00,Guting,17.0,0.38,1.1,6.3,7.4,50.0,75.0,38.0,0.0,64.0,3.1,95.0,100.0,2.9,2.6
2015/01/11 02:00,Guting,17.0,0.35,1.2,5.5,6.7,50.0,75.0,43.0,0.0,66.0,2.8,107.0,108.0,3.0,3.0
2015/01/11 03:00,Guting,17.0,0.32,0.7,5.1,5.7,50.0,72.0,44.0,0.0,68.0,2.8,107.0,103.0,4.0,3.2
2015/01/11 04:00,Guting,17.0,0.31,0.7,4.0,4.7,50.0,61.0,40.0,0.0,71.0,2.7,103.0,103.0,3.9,3.8
2015/01/11 05:00,Guting,16.0,0.3,0.7,4.6,5.3,48.0,56.0,33.0,0.0,73.0,2.6,104.0,104.0,4.1,3.6
2015/01/11 06:00,Guting,16.0,0.32,1.0,6.9,7.9,45.0,54.0,27.0,0.0,71.0,2.6,106.0,112.0,3.9,3.6
2015/01/11 07:00,Guting,17.0,0.37,1.8,10.0,12.0,42.0,65.0,22.0,0.0,70.0,2.7,107.0,103.0,3.7,3.4
2015/01/11 08:00,Guting,17.0,0.38,2.0,11.0,13.0,40.0,60.0,20.0,0.0,71.0,2.6,109.0,110.0,4.0,3.5
